crop_id,crop_name,crop_name_te,scientific_name,category,category_te,n_ideal,p_ideal,k_ideal,n_range,p_range,k_range,ph_ideal,ph_range,temp_ideal,humidity_ideal,rainfall_ideal,season,season_te,soil_type,soil_type_te,water_requirement,water_requirement_te
coriander,Coriander (Kothimeera),కొత్తిమీర (ధనియాలు),Coriandrum sativum,Leafy Vegetables,ఆకుకూరలు,50,35,35,35 - 70 kg/ha,25 - 50 kg/ha,25 - 50 kg/ha,7.0,6.2 - 7.8,22.0,60.0,55.0,Rabi / Late Kharif,రబీ / ఖరీఫ్,Rich Well-drained Loam / Black Soil,సారవంతమైన ఒండ్రు / నల్లరేగడి నేలలు,Low to Moderate,తక్కువ నుండి మధ్యస్థం
mint,Mint (Pudina),పుదీనా,Mentha,Leafy Vegetables,ఆకుకూరలు,60,35,45,40 - 80 kg/ha,25 - 50 kg/ha,30 - 65 kg/ha,6.8,6.0 - 7.5,24.0,70.0,75.0,Year-round (Perennial),సంవత్సరం పొడవునా,Rich Organic Moist Loam,తేమ నిలిచే సేంద్రీయ ఒండ్రు నేలలు,High (Frequent Watering),ఎక్కువ (తరచూ నీరు అవసరం)
apple,Apple,యాపిల్,Malus domestica,Fruits & Orchards,పండ్ల తోటలు,20,134,200,10 - 40 kg/ha,120 - 145 kg/ha,190 - 210 kg/ha,5.9,5.5 - 6.5,22.5,92.0,112.0,Temperate / Hill Perennial,శీతల కొండ ప్రాంతాలు,Deep Well-drained Loam rich in humus,లోతైన సేంద్రీయ ఒండ్రు నేలలు,Moderate,మధ్యస్థం
banana,Banana,అరటి,Musa acuminata,Fruits & Orchards,పండ్ల తోటలు,100,82,50,80 - 120 kg/ha,70 - 95 kg/ha,45 - 60 kg/ha,6.0,5.5 - 6.8,27.5,80.0,105.0,Year-round,సంవత్సరం పొడవునా,Deep Clay Loam / Alluvial,లోతైన బంకమట్టి ఒండ్రు నేలలు,Very High,చాలా ఎక్కువ
mango,Mango,మామిడి,Mangifera indica,Fruits & Orchards,పండ్ల తోటలు,20,27,30,10 - 40 kg/ha,15 - 40 kg/ha,25 - 40 kg/ha,5.8,5.5 - 7.5,31.0,50.0,95.0,Summer Harvest (Perennial),వేసవి పంట (శాశ్వత చెట్టు),Deep Well-drained Alluvial / Red Loam,లోతైన ఎర్ర ఒండ్రు నేలలు,Moderate (Low during flowering),మధ్యస్థం
grapes,Grapes,ద్రాక్ష,Vitis vinifera,Fruits & Orchards,పండ్ల తోటలు,23,132,200,10 - 40 kg/ha,120 - 145 kg/ha,195 - 205 kg/ha,6.0,5.5 - 7.0,24.0,82.0,70.0,Spring / Summer Harvest,వసంత / వేసవి కాలం,Well-drained Sandy Loam,నీరు నిలవని ఇసుక ఒండ్రు నేలలు,Moderate (Drip irrigation),మధ్యస్థం (డ్రిప్ పద్ధతి)
orange,Orange,నారింజ (సంత్రా),Citrus sinensis,Fruits & Orchards,పండ్ల తోటలు,20,16,10,10 - 40 kg/ha,10 - 30 kg/ha,5 - 15 kg/ha,7.0,6.0 - 8.0,23.0,92.0,110.0,Winter / Spring Harvest,శీతాకాలం / వసంత కాలం,Deep Well-drained Loam,లోతైన ఒండ్రు నేలలు,Moderate,మధ్యస్థం
papaya,Papaya,బొప్పాయి,Carica papaya,Fruits & Orchards,పండ్ల తోటలు,50,59,50,35 - 65 kg/ha,45 - 70 kg/ha,45 - 60 kg/ha,6.7,6.0 - 7.0,33.5,92.5,195.0,Year-round,సంవత్సరం పొడవునా,Rich Well-drained Sandy Loam,సేంద్రీయ ఇసుక ఒండ్రు నేలలు (నీరు నిలవరాదు),Moderate to High,మధ్యస్థం నుండి ఎక్కువ
pomegranate,Pomegranate,దానిమ్మ,Punica granatum,Fruits & Orchards,పండ్ల తోటలు,20,18,40,15 - 40 kg/ha,10 - 30 kg/ha,35 - 45 kg/ha,6.4,5.5 - 7.2,22.0,90.0,107.0,Year-round (Bahar Treatments),సంవత్సరం పొడవునా,Deep Heavy Loam / Sandy Loam,లోతైన ఒండ్రు నేలలు,Low to Moderate (Drip),తక్కువ నుండి మధ్యస్థం
watermelon,Watermelon,పుచ్చకాయ,Citrullus lanatus,Fruits & Orchards,పండ్ల తోటలు,100,17,50,80 - 120 kg/ha,10 - 30 kg/ha,45 - 55 kg/ha,6.5,6.0 - 7.0,25.5,85.0,50.0,Summer (Zaid),వేసవి కాలం,Sandy Loam / River Beds,ఇసుక ఒండ్రు నేలలు / నదీ పరివాహక ప్రాంతాలు,Moderate,మధ్యస్థం
muskmelon,Muskmelon,ఖర్బూజ,Cucumis melo,Fruits & Orchards,పండ్ల తోటలు,100,18,50,80 - 120 kg/ha,10 - 30 kg/ha,45 - 55 kg/ha,6.4,6.0 - 7.0,28.5,92.0,25.0,Summer (Zaid),వేసవి కాలం,Well-drained Sandy Loam,సారవంతమైన ఇసుక నేలలు,Low to Moderate,తక్కువ నుండి మధ్యస్థం
cotton,Cotton,పత్తి,Gossypium hirsutum,Cash Crops,వాణిజ్య పంటలు,120,46,19,100 - 140 kg/ha,35 - 60 kg/ha,15 - 25 kg/ha,6.9,6.0 - 8.0,24.0,80.0,80.0,Kharif,ఖరీఫ్,Deep Black Cotton Soil,లోతైన నల్లరేగడి నేలలు,Moderate to High,మధ్యస్థం నుండి ఎక్కువ
jute,Jute,జనపనార (గోగు),Corchorus olitorius,Cash Crops,వాణిజ్య పంటలు,78,47,40,60 - 100 kg/ha,35 - 60 kg/ha,35 - 45 kg/ha,6.7,6.0 - 7.5,25.0,80.0,175.0,Kharif / Pre-monsoon,ఖరీఫ్,New Alluvial / Sandy Silt,నూతన ఒండ్రు నేలలు,High,ఎక్కువ
sugarcane,Sugarcane,చెరకు,Saccharum officinarum,Cash Crops,వాణిజ్య పంటలు,150,70,90,120 - 200 kg/ha,50 - 90 kg/ha,60 - 120 kg/ha,6.8,6.0 - 7.5,28.0,72.0,180.0,Annual (Spring / Autumn Planting),సంవత్సర పంట (వసంత / శరదృతువు),Deep Well-drained Loamy / Clay Loam,సారవంతమైన ఒండ్రు / బంకమట్టి నేలలు,Very High (1500-2500 mm total),చాలా ఎక్కువ
tobacco,Tobacco,పొగాకు,Nicotiana tabacum,Cash Crops,వాణిజ్య పంటలు,65,60,75,40 - 90 kg/ha,40 - 80 kg/ha,50 - 100 kg/ha,6.0,5.5 - 6.8,26.0,70.0,75.0,Rabi,రబీ,Light Sandy / Black Cotton Soil,తేలికపాటి ఇసుక / నల్లరేగడి నేలలు,Moderate,మధ్యస్థం
groundnut,Groundnut (Peanut),వేరుశనగ (పల్లీలు),Arachis hypogaea,Cash Crops,వాణిజ్య పంటలు,30,55,50,20 - 45 kg/ha,40 - 75 kg/ha,40 - 70 kg/ha,6.8,6.0 - 7.5,27.0,62.0,75.0,Kharif / Rabi,ఖరీఫ్ / రబీ,Sandy Loam / Red Loam (Loose & Friable),గుల్లగా ఉండే ఇసుక ఎర్ర నేలలు,Moderate,మధ్యస్థం
coconut,Coconut,కొబ్బరి,Cocos nucifera,Plantation Crops,తోట పంటలు,22,17,30,20 - 40 kg/ha,15 - 30 kg/ha,25 - 35 kg/ha,6.0,5.5 - 7.5,27.0,95.0,175.0,Perennial (Coastal / Tropical),శాశ్వత తోట (తీర ప్రాంతాలు),Coastal Sand / Alluvial / Laterite,తీరప్రాంత ఇసుక / ఒండ్రు / ఎర్ర నేలలు,High,ఎక్కువ
coffee,Coffee,కాఫీ,Coffea arabica,Plantation Crops,తోట పంటలు,100,29,30,80 - 120 kg/ha,20 - 40 kg/ha,25 - 35 kg/ha,6.8,6.0 - 7.2,25.5,60.0,160.0,Hill Plantation (Shade Grown),కొండ ప్రాంతాల నీడ తోటలు,Deep Well-drained Humus-rich Loam,సేంద్రీయ పదార్థాలు గల ఒండ్రు నేలలు,High,ఎక్కువ
tea,Tea,టీ (తేయాకు),Camellia sinensis,Plantation Crops,తోట పంటలు,120,45,60,90 - 150 kg/ha,30 - 60 kg/ha,40 - 80 kg/ha,5.0,4.5 - 5.5,21.0,82.0,220.0,Hill Perennial,శీతల కొండ ప్రాంతాలు,Acidic Well-drained Laterite / Loam,ఆమ్ల గుణం గల ఎర్ర నేలలు,Very High (Well-drained),చాలా ఎక్కువ (నీరు నిలవరాదు)
cashew,Cashew,జీడిమామిడి (జీడిపప్పు),Anacardium occidentale,Plantation Crops,తోట పంటలు,45,30,45,30 - 60 kg/ha,20 - 40 kg/ha,30 - 60 kg/ha,6.2,5.5 - 7.0,29.0,70.0,130.0,Coastal / Tropical Perennial,తీర / ఉష్ణమండల ప్రాంతాలు,Red Laterite / Sandy Coastal Soils,ఎర్ర నేలలు / తీరప్రాంత ఇసుక నేలలు,Low to Moderate,తక్కువ నుండి మధ్యస్థం
arecanut,Arecanut (Betel Nut),పోక చెక్క (వక్క),Areca catechu,Plantation Crops,తోట పంటలు,100,50,130,80 - 130 kg/ha,35 - 65 kg/ha,100 - 160 kg/ha,6.2,5.5 - 7.0,26.0,80.0,220.0,Coastal / Western Ghats Perennial,తీర ప్రాంతాల శాశ్వత తోట,Deep Laterite / Clay Loam,లోతైన ఎర్ర / బంకమట్టి నేలలు,High,ఎక్కువ
jasmine,Jasmine,మల్లెపువ్వు (మల్లె),Jasminum sambac,Flowering Crops,పూల తోటలు,70,55,70,50 - 90 kg/ha,40 - 75 kg/ha,50 - 90 kg/ha,7.0,6.5 - 7.8,28.0,65.0,85.0,Summer to Monsoon Flowering (Perennial Shrub),వేసవి మరియు వర్షాకాలం (శాశ్వత పొద),Well-drained Rich Sandy Loam,సారవంతమైన ఇసుక ఒండ్రు నేలలు,Moderate,మధ్యస్థం
